state,number_of_survivors
,153
 NY,99
 PA,19
 MI,17
 NJ,15
 OH,15
 England,11
 MA,10
 France,10
 IL,9
 PQ,9
 CA,9
 CT,7
 MB,6
 MN,6
 DC,6
 Switzerland,5
London,5
 WI,5
 MO,4
 Cuba,4
 OR,4
 Haiti,3
 MT,3
 KS,3
 ON,3
 VA,3
 England Ohio,2
 ND,2
 Paris,2
 ID,2
  Stamford CT,2
 AB,2
 IA,2
 RI,2
Southampton,2
 VT,2
 WA,2
 SD,2
 IN,2
 Somerset,1
Russia,1
Pennsylvania,1
 Ohio,1
 Japan,1
 FL,1
 Germany,1
 NH,1
 Greenwich CT,1
 California,1
 WV,1
 Chicago,1
 Surrey,1
Spain,1
 Massachusetts,1
 Briarcliff Manor NY,1
Guernsey,1
 Yorks,1
 BC,1
 Spain,1
 Devon,1
 Peru,1
 Sweden,1
Liverpool,1
 Staffs,1
 CO,1
 DE,1
 KY,1
Ireland,1
 NS,1
 London,1
